1 -106.423 106.313
2 -106.638 106.093
3 -106.723 105.891
4 -106.69 105.708
5 -106.551 105.55
6 -106.321 105.436
7 -106.019 105.391
8 -105.669 105.445
9 -105.306 105.621
10 -104.963 105.933
11 -104.669 106.376
12 -104.444 106.933
13 -104.292 107.574
14 -104.207 108.267
15 -104.174 108.982
16 -104.183 109.696
17 -104.227 110.393
18 -104.308 111.058
19 -104.426 111.679
20 -104.585 112.237
21 -104.779 112.711
22 -105.001 113.076
23 -105.247 113.31
24 -105.519 113.402
25 -105.832 113.357
26 -106.207 113.192
27 -106.666 112.938
28 -107.214 112.634
29 -107.842 112.311
30 -108.516 111.987
31 -109.194 111.666
32 -109.835 111.339
33 -110.407 110.99
34 -110.89 110.605
35 -111.273 110.182
36 -111.542 109.728
37 -111.684 109.258
38 -111.684 108.788
39 -111.528 108.325
40 -111.21 107.866
41 -110.731 107.393
42 -110.104 106.882
43 -109.35 106.308
44 -108.5 105.663
45 -107.596 104.957
46 -106.693 104.225
47 -105.853 103.519
48 -105.142 102.896
49 -104.612 102.402
50 -104.29 102.061
51 -104.17 101.871
52 -104.222 101.807
53 -104.399 101.833
54 -104.656 101.917
55 -104.964 102.041
56 -105.306 102.206
57 -105.681 102.428
58 -106.09 102.731
59 -106.527 103.135
60 -106.977 103.645
61 -107.419 104.245
62 -107.83 104.901
63 -108.189 105.571
64 -108.486 106.21
65 -108.721 106.789
66 -108.901 107.299
67 -109.035 107.75
68 -109.135 108.167
69 -109.21 108.574
70 -109.264 108.988
71 -109.292 109.406
72 -109.281 109.807
73 -109.205 110.156
74 -109.037 110.419
75 -108.748 110.567
76 -108.313 110.585
77 -107.723 110.476
78 -106.981 110.257
79 -106.109 109.95
80 -105.139 109.582
81 -104.114 109.172
82 -103.075 108.735
83 -102.065 108.283
84 -101.122 107.824
85 -100.283 107.377
86 -99.5909 106.963
87 -99.093 106.619
88 -98.837 106.379
89 -98.8625 106.273
90 -99.1915 106.317
91 -99.8188 106.51
92 -100.711 106.828
93 -101.809 107.23
94 -103.042 107.67
95 -104.333 108.104
96 -105.613 108.497
97 -106.818 108.831
98 -107.903 109.1
99 -108.834 109.307
100 -109.595 109.458
101 -110.187 109.562
102 -110.626 109.626
103 -110.936 109.658
104 -111.145 109.668
105 -111.275 109.67
106 -111.341 109.678
107 -111.345 109.704
108 -111.283 109.755
109 -111.147 109.831
110 -110.929 109.921
111 -110.628 110.007
112 -110.243 110.071
113 -109.777 110.096
114 -109.236 110.072
115 -108.622 109.998
116 -107.941 109.88
117 -107.198 109.73
118 -106.4 109.559
119 -105.552 109.372
120 -104.666 109.171
121 -103.754 108.953
122 -102.837 108.717
123 -101.946 108.464
124 -101.124 108.208
125 -100.422 107.97
126 -99.8923 107.777
127 -99.5815 107.657
128 -99.5179 107.633
129 -99.7047 107.712
130 -100.12 107.886
131 -100.72 108.135
132 -101.449 108.428
133 -102.247 108.733
134 -103.057 109.027
135 -103.831 109.296
136 -104.528 109.54
137 -105.121 109.77
138 -105.587 110.001
139 -105.909 110.243
140 -106.075 110.498
141 -106.074 110.76
142 -105.895 111.016
143 -105.534 111.256
144 -104.991 111.483
145 -104.276 111.713
146 -103.411 111.977
147 -102.431 112.313
148 -101.375 112.753
149 -100.286 113.318
150 -99.1997 114.002
151 -98.1405 114.782
152 -97.117 115.615
153 -96.125 116.454
154 -95.1533 117.258
155 -94.1908 117.998
156 -93.2342 118.661
157 -92.294 119.249
158 -91.3925 119.773
159 -90.5612 120.248
160 -89.8375 120.685
161 -89.2561 121.087
162 -88.8446 121.445
163 -88.6213 121.743
164 -88.5957 121.959
165 -88.7681 122.073
166 -89.1309 122.069
167 -89.6679 121.942
168 -90.3558 121.697
169 -91.1635 121.344
170 -92.0527 120.899
171 -92.9813 120.376
172 -93.9064 119.79
173 -94.7877 119.151
174 -95.5887 118.47
175 -96.2741 117.757
176 -96.8104 117.025
177 -97.1663 116.289
178 -97.3165 115.563
179 -97.2447 114.861
180 -96.9497 114.2
181 -96.4456 113.599
182 -95.7622 113.083
183 -94.9405 112.686
184 -94.0276 112.446
185 -93.0713 112.407
186 -92.1135 112.602
187 -91.1896 113.052
188 -90.3234 113.753
189 -89.5262 114.678
190 -88.8012 115.776
191 -88.1455 116.982
192 -87.5519 118.23
193 -87.0195 119.464
194 -86.5569 120.635
195 -86.1809 121.725
196 -85.9169 122.731
197 -85.7933 123.664
198 -85.8347 124.537
199 -86.0542 125.357
200 -86.4517 126.119
201 -87.0154 126.808
202 -87.7274 127.401
203 -88.5711 127.875
204 -89.5343 128.22
205 -90.6089 128.436
206 -91.7874 128.537
207 -93.0585 128.543
208 -94.4027 128.478
209 -95.7905 128.357
210 -97.183 128.189
211 -98.5355 127.975
212 -99.8009 127.709
213 -100.934 127.383
214 -101.899 126.996
215 -102.664 126.554
216 -103.213 126.073
217 -103.54 125.577
218 -103.652 125.102
219 -103.565 124.681
220 -103.307 124.35
221 -102.906 124.134
222 -102.395 124.055
223 -101.802 124.123
224 -101.155 124.345
225 -100.476 124.726
226 -99.7835 125.268
227 -99.0962 125.972
228 -98.4315 126.83
229 -97.8062 127.823
230 -97.231 128.913
231 -96.7086 130.051
232 -96.2316 131.178
233 -95.7855 132.234
234 -95.3513 133.167
235 -94.9113 133.942
236 -94.4538 134.54
237 -93.976 134.957
238 -93.4825 135.196
239 -92.9828 135.267
240 -92.4896 135.175
241 -92.0157 134.926
242 -91.5748 134.525
243 -91.1802 133.981
244 -90.8457 133.31
245 -90.5865 132.54
246 -90.4162 131.709
247 -90.3435 130.861
248 -90.3695 130.043
249 -90.4866 129.296
250 -90.681 128.648
251 -90.9336 128.117
252 -91.2214 127.703
253 -91.5181 127.396
254 -91.7927 127.176
255 -92.0087 127.025
256 -92.1281 126.928
257 -92.1166 126.875
258 -91.9526 126.862
259 -91.6311 126.892
260 -91.1649 126.963
261 -90.5796 127.075
262 -89.907 127.222
263 -89.1739 127.396
264 -88.3994 127.59
265 -87.5955 127.8
266 -86.7707 128.023
267 -85.9339 128.259
268 -85.0942 128.506
269 -84.2597 128.754
270 -83.4383 128.986
271 -82.6345 129.174
272 -81.8512 129.288
273 -81.0897 129.301
274 -80.3534 129.199
275 -79.6518 128.981
276 -78.9977 128.662
277 -78.4063 128.261
278 -77.888 127.797
279 -77.4448 127.284
280 -77.0725 126.726
281 -76.7639 126.126
282 -76.5161 125.49
283 -76.3364 124.836
284 -76.2447 124.195
285 -76.2661 123.613
286 -76.4198 123.136
287 -76.7065 122.804
288 -77.102 122.637
289 -77.5614 122.635
290 -78.0286 122.775
291 -78.4512 123.023
292 -78.7921 123.341
293 -79.0332 123.695
294 -79.174 124.064
295 -79.2293 124.439
296 -79.2234 124.822
297 -79.1864 125.224
298 -79.1486 125.651
299 -79.135 126.105
300 -79.1604 126.573
301 -79.2266 127.028
302 -79.3239 127.437
303 -79.4387 127.765
304 -79.5615 127.991
305 -79.6962 128.112
306 -79.8652 128.152
307 -80.1049 128.147
308 -80.4562 128.144
309 -80.9496 128.176
310 -81.5936 128.255
311 -82.3676 128.367
312 -83.2277 128.473
313 -84.1184 128.528
314 -84.9892 128.49
315 -85.8064 128.338
316 -86.5609 128.073
317 -87.2674 127.717
318 -87.9553 127.309
319 -88.658 126.892
320 -89.3999 126.5
321 -90.1885 126.155
322 -91.0115 125.861
323 -91.8418 125.611
324 -92.6447 125.393
325 -93.3842 125.199
326 -94.0258 125.033
327 -94.5383 124.91
328 -94.8989 124.851
329 -95.0973 124.88
330 -95.1352 125.014
331 -95.0274 125.261
332 -94.7969 125.611
333 -94.4659 126.045
334 -94.0478 126.533
335 -93.5457 127.042
336 -92.9547 127.541
337 -92.2705 128.004
338 -91.4992 128.414
339 -90.663 128.757
340 -89.7986 129.024
341 -88.9513 129.211
342 -88.165 129.311
343 -87.4754 129.322
344 -86.9058 129.241
345 -86.4657 129.07
346 -86.1561 128.813
347 -85.9742 128.477
348 -85.9168 128.07
349 -85.9823 127.603
350 -86.1707 127.087
351 -86.4846 126.532
352 -86.929 125.95
353 -87.5104 125.358
354 -88.2346 124.774
355 -89.1054 124.223
356 -90.1187 123.726
357 -91.2576 123.304
358 -92.4903 122.971
359 -93.7721 122.73
360 -95.0509 122.574
361 -96.2765 122.49
362 -97.4056 122.462
363 -98.4105 122.477
364 -99.2776 122.529
365 -99.9991 122.623
366 -100.568 122.764
367 -100.975 122.963
368 -101.203 123.22
369 -101.234 123.527
370 -101.053 123.866
371 -100.656 124.209
372 -100.047 124.527
373 -99.2434 124.794
374 -98.2735 124.999
375 -97.1704 125.145
376 -95.9736 125.249
377 -94.7281 125.34
378 -93.4833 125.446
379 -92.2894 125.586
380 -91.1918 125.763
381 -90.2243 125.965
382 -89.408 126.165
383 -88.7514 126.331
384 -88.2572 126.436
385 -87.9291 126.468
386 -87.7752 126.426
387 -87.8055 126.325
388 -88.0243 126.185
389 -88.4235 126.025
390 -88.9765 125.854
391 -89.6404 125.667
392 -90.3624 125.45
393 -91.0946 125.183
394 -91.8023 124.85
395 -92.4666 124.45
396 -93.0856 123.999
397 -93.6672 123.531
398 -94.2236 123.086
399 -94.7631 122.703
400 -95.2829 122.406
401 -95.7668 122.198
402 -96.1863 122.061
403 -96.5042 121.96
404 -96.6812 121.856
405 -96.685 121.717
406 -96.4982 121.524
407 -96.1232 121.275
408 -95.582 120.983
409 -94.9113 120.67
410 -94.1537 120.352
