     1	-96.6544
     2	-95.1766
     3	-92.6137
     4	-91.9402
     5	-88.5759
     6	-90.0758
     7	-94.7845
     8	-98.7589
     9	-99.3726
    10	-102.775
    11	-97.7009
    12	-97.291
    13	-93.3946
    14	-95.0609
    15	-84.7776
    16	-84.3187
    17	-92.3052
    18	-94.2786
    19	-92.4961
    20	-96.5788
    21	-102.332
    22	-101.685
    23	-101.806
    24	-106.65
    25	-110.2
    26	-102.763
    27	-95.9674
    28	-96.9302
    29	-99.8497
    30	-102.128
    31	-104.529
    32	-98.4325
    33	-97.4037
    34	-94.5453
    35	-95.1902
    36	-93.5394
    37	-87.3196
    38	-84.3818
    39	-94.2762
    40	-93.504
    41	-94.865
    42	-93.4428
    43	-87.6441
    44	-82.8478
    45	-82.4705
    46	-85.6626
    47	-89.1179
    48	-94.2944
    49	-93.7799
    50	-91.1395
    51	-85.3941
    52	-87.5442
    53	-87.4958
    54	-83.3206
    55	-78.024
    56	-76.637
    57	-81.4973
    58	-74.8957
    59	-77.9076
    60	-91.5238
    61	-93.7865
    62	-92.6316
    63	-94.7507
    64	-90.7089
    65	-94.6864
    66	-99.1515
    67	-98.7683
    68	-96.965
    69	-95.6725
    70	-94.9713
    71	-96.5471
    72	-92.575
    73	-90.7735
    74	-90.8861
    75	-92.0891
    76	-96.9327
    77	-101.279
    78	-100.308
    79	-100.432
    80	-99.3461
    81	-100.821
    82	-103.336
    83	-106.732
    84	-111.468
    85	-105.521
    86	-107.905
    87	-105.722
    88	-98.852
    89	-96.7444
    90	-100.897
    91	-99.5149
    92	-103.124
    93	-98.9906
    94	-95.7686
    95	-95.6875
    96	-97.8143
    97	-101.006
    98	-98.7743
    99	-90.7569
   100	-95.3295
   101	-98.7082
   102	-96.7494
   103	-91.8637
   104	-92.1622
   105	-92.1527
   106	-91.8583
   107	-91.0716
   108	-90.4656
   109	-84.5841
   110	-85.403
   111	-88.7475
   112	-82.0688
   113	-83.4475
   114	-93.3156
   115	-86.1413
   116	-82.4293
   117	-84.7603
   118	-82.7122
   119	-80.9272
   120	-81.8301
   121	-80.5166
   122	-76.2827
   123	-76.0165
   124	-82.0308
   125	-84.3627
   126	-82.4771
   127	-87.1646
   128	-87.6279
   129	-84.9154
   130	-81.9784
   131	-84.0882
   132	-85.5378
   133	-86.1908
   134	-80.8098
   135	-83.015
   136	-78.2499
   137	-77.59
   138	-72.8621
   139	-75.1004
   140	-81.0603
   141	-82.3302
   142	-78.6471
   143	-85.6483
   144	-86.6285
   145	-84.4358
   146	-85.6929
   147	-83.129
   148	-74.6571
   149	-76.9247
   150	-84.6995
   151	-79.9206
   152	-75.328
   153	-79.1786
   154	-82.1477
   155	-79.1893
   156	-81.185
   157	-80.5854
   158	-79.322
   159	-76.0778
   160	-71.6213
   161	-70.3056
   162	-76.7237
   163	-78.9735
   164	-77.3988
   165	-76.089
   166	-73.9614
   167	-75.4223
   168	-77.294
   169	-78.196
   170	-77.5179
   171	-77.1279
   172	-70.2484
   173	-67.7849
   174	-64.5557
   175	-69.2648
   176	-70.8972
   177	-67.6481
   178	-67.4828
   179	-73.7177
   180	-76.5407
   181	-71.8387
   182	-75.1949
   183	-77.7164
   184	-70.4678
   185	-65.0644
   186	-70.6433
   187	-68.3163
   188	-68.2974
   189	-67.8803
   190	-67.7192
   191	-69.0366
   192	-67.6585
   193	-65.2225
   194	-69.9745
   195	-66.4493
   196	-68.9732
   197	-74.8537
   198	-75.745
   199	-71.7153
   200	-65.9282
   201	-66.9187
   202	-68.1243
   203	-69.243
   204	-74.5393
   205	-77.6984
   206	-67.3465
   207	-65.9953
   208	-63.0089
   209	-65.536
   210	-54.4591
   211	-52.0158
   212	-58.5998
   213	-62.1048
   214	-59.5816
   215	-68.0992
   216	-76.3166
   217	-72.2998
   218	-68.7571
   219	-68.9356
   220	-70.7108
   221	-64.2801
   222	-67.6603
   223	-64.6111
   224	-60.544
   225	-55.3619
   226	-57.942
   227	-56.3609
   228	-54.066
   229	-54.4997
   230	-56.6079
   231	-61.7222
   232	-63.5882
   233	-64.2831
   234	-65.776
   235	-67.5271
   236	-66.813
   237	-69.9416
   238	-66.8202
   239	-65.3089
   240	-69.6124
   241	-71.2349
   242	-69.1291
   243	-70.2047
   244	-74.4383
   245	-82.6301
   246	-76.4964
   247	-75.8074
   248	-79.088
   249	-78.7556
   250	-70.5228
   251	-68.962
   252	-72.4043
   253	-67.1627
   254	-59.8067
   255	-59.509
   256	-66.8687
   257	-58.3654
   258	-62.3903
   259	-59.0477
   260	-55.6647
   261	-49.9713
   262	-54.0709
   263	-59.8307
   264	-61.408
   265	-53.3828
   266	-53.5873
   267	-63.6291
   268	-62.3245
   269	-55.7083
   270	-62.2104
   271	-68.3371
   272	-64.3688
   273	-67.5464
   274	-78.7792
   275	-81.998
   276	-79.693
   277	-83.7369
   278	-81.6224
   279	-74.873
   280	-72.7974
   281	-73.79
   282	-75.6507
   283	-80.145
   284	-82.2051
   285	-93.108
   286	-94.1102
   287	-90.805
   288	-93.1364
   289	-92.3531
   290	-79.2924
   291	-70.6966
   292	-69.765
   293	-70.8661
   294	-68.3661
   295	-62.3655
   296	-65.3166
   297	-70.5629
   298	-76.4025
   299	-83.4426
   300	-81.7309
   301	-79.3824
   302	-84.7506
   303	-89.5681
   304	-84.225
   305	-76.2159
   306	-73.1033
   307	-72.1377
   308	-65.2314
   309	-65.6909
   310	-72.2871
   311	-75.5384
   312	-75.6866
   313	-75.2403
   314	-72.8006
   315	-77.0138
   316	-75.3079
   317	-67.6946
   318	-66.8841
   319	-65.6275
   320	-71.9181
   321	-72.044
   322	-71.2972
   323	-71.1975
   324	-66.9829
   325	-64.3163
   326	-69.4248
   327	-70.9807
   328	-73.3508
   329	-77.9938
   330	-81.078
   331	-84.3515
   332	-88.841
   333	-90.292
   334	-90.1853
   335	-87.6839
   336	-95.0117
   337	-102.541
   338	-102.599
   339	-105.859
   340	-108.3
